Name,Portfolio,Country,National_Party,EP_Group,wikidata_id,name,term_start,wikidata_position,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Karel Van Miert,Competition,BEL,sp.a,S&D,Q697552,Karel Van Miert,,,1942-01-17,Oud-Turnhout,Ghent University,politician || university teacher,Goldman Sachs,Vooruit,Vlerick Award || European handicraft prize || Ludwig Erhard Prize for Publications in Economics || Gouden Penning,member of the Chamber of Representatives of Belgium || European Commissioner for Transport (1989-01-01 to 1992-01-01) || Member of the European Parliament (1979-07-17 to 1984-07-23) || European Commissioner for Competition (1993-01-06 to 1999-09-13) || Member of the European Parliament (1984-07-24 to 1985-11-01) || member of the Flemish Parliament || Member of the European Parliament (1979-01-01 to 1985-01-01)
Ritt Bjerregaard,"Environment, Nuclear Safety and Civil Protection",DNK,SD,S&D,Q257881,Ritt Bjerregaard,,,1941-05-19,Copenhagen,University of Copenhagen,politician,,Social Democrats,Columbus-Prisen,"member of the Folketing || Lord Mayor of Copenhagen (2006-01-01 to 2009-12-31) || Minister of Social Affairs of Denmark (1979-10-26 to 1981-12-30) || state auditor (1982-10-01 to 1995-01-31) || European Commissioner for the Environment (1995-01-23 to 1999-03-15) || Representative of the Parliamentary Assembly of the Council of Europe (1991-01-28 to 1994-11-10) || Minister for Food, Agriculture and Fisheries (2000-02-23 to 2001-11-21) || Minister of Education (1973-09-27 to 1973-12-19) || member of the Folketing (2001-11-20 to 2005-02-08) || Minister of Education (1975-02-13 to 1978-12-22)"
Monika Wulf-Mathies,Regional Policy and Cohesion Fund,DEU,SPD,S&D,Q66021,Monika Wulf-Mathies,,,1942-03-17,Wernigerode,,politician || trade unionist,,Social Democratic Party of Germany,,European Commissioner for Cohesion and Reforms (1995-01-23 to 1999-09-15)
Neil Kinnock,Transport,GBR,Lab,S&D,Q317258,Neil Kinnock,,,1942-03-28,Tredegar,Cardiff University || Lewis School Pengam,politician,Cardiff University,Labour Party,,member of the 47th Parliament of the United Kingdom (1974-10-10 to 1979-04-07) || vice-president of the European Commission (1999-09-16 to 2004-11-21) || European Commissioner for Transport (1995-02-16 to 1999-09-16) || member of the House of Lords (from 2005-01-28) || member of the 46th Parliament of the United Kingdom (1974-02-28 to 1974-09-20) || member of the 45th Parliament of the United Kingdom (1970-06-18 to 1974-02-08) || member of the 50th Parliament of the United Kingdom (1987-06-11 to 1992-03-16) || Shadow Secretary of State for Education (1979-05-04 to 1983-10-02) || member of the 51st Parliament of the United Kingdom (1992-04-09 to 1995-01-20) || Leader of the Opposition (1983-10-02 to 1992-07-18) || Leader of the Labour Party (1983-10-02 to 1992-07-18) || Member of the Privy Council of the United Kingdom (from 1983-01-01) || member of the 48th Parliament of the United Kingdom (1979-05-03 to 1983-05-13) || member of the 49th Parliament of the United Kingdom (1983-06-09 to 1987-05-18)
Mario Monti,Internal Market and Financial Services / Competition,ITA,ind.,EPP,Q47904,Mario Monti,,,1943-03-19,Varese,Yale University || Bocconi University,politician || economist || university teacher,University of Turin || University of Trento || Bocconi University,Civic Choice,Global Economy Prize || Robert Schuman Medal || Knight Grand Cross of the Order of Merit of the Italian Republic || honorary doctorate of CEU San Pablo University || Grand Cordon of the Order of the Rising Sun || honorary doctor of the University of Padua || honorary doctorate from Sciences Po,European Commissioner for Competition (1999-09-15 to 2004-10-30) || Italian senator for life (from 2011-11-09) || Prime Minister of Italy (2011-11-16 to 2013-04-28) || Italian Minister of Foreign Affairs (2013-03-26 to 2013-04-28) || European Commissioner for Internal Market (1995-01-18 to 1999-09-15) || Italian Minister of Economy and Finance (2011-11-16 to 2012-07-11)
Franz Fischler,Agriculture and Rural Development,AUT,ÖVP,EPP,Q78587,Franz Fischler,,,1946-09-23,Absam,"University of Natural Resources and Life Sciences, Vienna",politician,Austrian Federal Government,Austrian People's Party,"Robert Schuman Medal || Knight of the Order of St. Gregory the Great || Q19298765 || honorary doctorate of the University of Natural Resources and Life Sciences, Vienna",member of the National Council of Austria || European Commissioner for Maritime Affairs and Fisheries || European Commissioner for Maritime Affairs and Fisheries (1999-09-16 to 2004-11-21) || European Commissioner for Agriculture (1995-01-23 to 2004-11-21)
Anita Gradin,Immigration and Home Affairs / Fisheries,SWE,SAP,S&D,Q459226,Anita Gradin,,,1933-08-12,Q10532612,,politician || journalist,,Swedish Social Democratic Party,Grand Cross of Honor for Services to the Republic of Austria || Honorary doctorate of Umeå University,"member of the Swedish Riksdag (1982-10-04 to 1982-10-08) || member of the Swedish Riksdag (1985-09-30 to 1985-09-30) || Representative of the Parliamentary Assembly of the Council of Europe (1982-04-26 to 1982-11-09) || member of the Swedish Riksdag (1971-01-11 to 1974-01-10) || member of the Swedish Riksdag (1991-10-05 to 1992-10-31) || substitute member of the Parliamentary Assembly of the Council of Europe (1973-05-14 to 1982-04-01) || Minister of Immigration (1982-10-08 to 1986-10-10) || Minister for Gender Equality Affairs (1982-10-08 to 1986-10-10) || member of the Swedish Riksdag (1988-10-03 to 1988-10-03) || Minister of Foreign Trade (1986-10-10 to 1991-10-04) || member of the Swedish Riksdag (1979-10-01 to 1982-10-04) || member of the Second Chamber (1969-01-01 to 1970-01-01) || member of the Swedish Riksdag (1974-01-10 to 1976-10-04) || European Commissioner for Justice, Fundamental Rights and Citizenship (1995-01-01 to 1999-01-01) || ambassador of Sweden to Austria (1992-01-01 to 1994-01-01) || member of the Swedish Riksdag (1976-10-04 to 1979-10-01) || European Commissioner for Home Affairs (1995-01-01 to 1999-01-01)"
Emma Bonino,Humanitarian Affairs / Fisheries,ITA,PR,ALDE,Q50002,Emma Bonino,,,1948-03-09,Bra,Bocconi University,politician,,Radical Party,Order of Duke Branimir || North–South Prize || Princess of Asturias Award for International Cooperation || Commander of the Legion of Honour || Knight Grand Cross of the Order of Merit of the Italian Republic || BBC 100 Women || Grand Officer of the National Order of the Lion || honorary doctorate of the Vrije Universiteit Brussel || Grand Cross of the Order of May,Member of the European Parliament (1979-07-17 to 1984-07-23) || member of the Chamber of Deputies of the Italian Republic (1986-12-05 to 1987-07-01) || member of the Senate of the Italian Republic (2008-04-18 to 2013-03-14) || Italian minister for EU Affairs (2006-05-17 to 2008-05-08) || member of the Chamber of Deputies of the Italian Republic (2006-04-21 to 2008-04-28) || member of the Chamber of Deputies of the Italian Republic (1992-04-23 to 1994-04-14) || Italian Minister of Foreign Affairs (2013-04-28 to 2014-02-22) || member of the Chamber of Deputies of the Italian Republic (1979-06-13 to 1983-07-11) || member of the Chamber of Deputies of the Italian Republic (1990-07-10 to 1992-04-22) || member of the Chamber of Deputies of the Italian Republic (1994-04-05 to 1995-01-24) || member of the Chamber of Deputies of the Italian Republic (1976-07-05 to 1978-12-20) || European Commissioner for Health and Consumer Policy (1995-01-23 to 1999-09-12) || Member of the European Parliament (1984-07-24 to 1984-09-11) || Minister of Foreign Trade (2006-05-17 to 2008-05-08) || Member of the European Parliament (1999-07-20 to 2004-07-19) || member of the Senate of the Italian Republic (2018-03-13 to 2022-10-12) || Member of the European Parliament (2004-07-20 to 2006-04-27)
Erkki Liikanen,Budget and Personnel,FIN,SDP,S&D,Q194058,Erkki Liikanen,,,1950-09-19,Mikkeli,University of Helsinki,politician || economist || diplomat || banker,,Social Democratic Party of Finland,Commander of the Order of the White Rose of Finland || Grand Cross of the Order of the Lion of Finland || Commander First Class of the Order of the Lion of Finland || Knight First Class of the Order of the Lion of Finland,European Commissioner for Industry and Entrepreneurship (1999-09-17 to 2004-07-11) || ambassador of Finland (1990-01-01 to 1994-01-01) || Governor of the Bank of Finland (2004-01-01 to 2018-01-01) || member of the Parliament of Finland (1972-01-22 to 1990-08-31) || Minister of Finance (1987-04-30 to 1990-02-28) || European Commissioner for Financial Programming and the Budget (1995-01-25 to 1999-09-17)
Christos Papoutsis,Energy and Euratom Supply Agency / Small Enterprises,GRC,PASOK,S&D,Q1087152,Christos Papoutsis,,,1953-04-11,Larissa,National and Kapodistrian University of Athens,politician || economist,,Panhellenic Socialist Movement,,Minister for the Protection of the Citizen (2010-09-07 to 2012-03-07) || Member of the European Parliament (1989-07-25 to 1994-07-18) || member of the Hellenic Parliament (2000-01-01 to 2012-01-01) || Member of the European Parliament (1984-07-24 to 1989-07-24) || Minister of Shipping and Island Policy (Greece) (2000-04-13 to 2001-10-24) || European Commissioner for Energy (1995-01-01 to 1999-09-01) || European Commissioner for Energy (1995-01-23 to 1999-09-15) || Member of the European Parliament (1994-07-19 to 1995-01-23)
